0,-1.637,0.0,-6.548,0.0,-1.637,0.0,4.0,0.0,0.0,0.0
1,-2.216,2.9131,-8.864,11.6524,-2.216,2.9131,4.0,0.0,0.0,0.0
2,-3.867,5.3828,-15.225496443,29.3128700876,-3.80637411076,7.32821752191,4.0,16.097005728966437,8986.0,0.001791342725235526
3,-6.336,7.033,-27.6751081695,28.5844403029,-6.91877704238,7.14611007572,4.0,0.9034203591921325,8992.0,0.00010046934599556633
4,-9.25,7.6125,-33.6368199205,28.5918361029,-8.40920498012,7.14795902573,4.0,1.0220373781618406,14198.0,7.198460192716162e-05
5,-12.16,7.033,-49.140921860800006,26.5191445909,-12.285230465200002,6.629786147725,4.0,1.6295605866706244,5336.0,0.0003053899150432205
6,-14.63,5.3828,-54.934071461100004,18.260035317499998,-13.733517865275001,4.5650088293749995,4.0,0.22499626195818467,7577.0,2.9694636658068452e-05
7,-16.28,2.9131,-60.185094522200004,10.22889032994,-15.046273630550001,2.557222582485,4.0,7.918529565135873,4981.0,0.0015897469514426566
8,-16.86,0.0,-58.1697287166,-0.66309744765,-14.54243217915,-0.1657743619125,4.0,24.770308430685045,5615.0,0.0044114529707364285
9,-16.28,-2.913,-58.863121254300005,-11.47646893666,-14.715780313575001,-2.869117234165,4.0,13.806833823101016,2449.0,0.005637743496570443
10,-14.63,-5.382,-57.5515535923,-21.1408033062,-14.387888398075,-5.28520082655,4.0,1.562302244968797,9262.0,0.00016867871355741708
11,-12.16,-7.033,-51.69057463990001,-28.5942427999,-12.922643659975002,-7.148560699975,4.0,6.180071344368274,15.0,0.4120047562912183
12,-9.25,-7.612,-37.0,-30.448,-9.25,-7.612,4.0,0.0,0.0,0.0
13,-6.336,-7.033,-25.344,-28.132,-6.336,-7.033,4.0,0.0,0.0,0.0
14,-3.867,-5.382,-15.468,-21.528,-3.867,-5.382,4.0,0.0,0.0,0.0
15,-2.216,-2.913,-8.864,-11.652,-2.216,-2.913,4.0,0.0,0.0,0.0
16,19.862,0.0,77.4986626082,-0.437685744719,19.37466565205,-0.10942143617975,4.0,2.36778652615083,9871.0,0.0002398730145021609
17,19.054,4.0612,80.7755254403,16.2674414713,20.193881360075,4.066860367825,4.0,7.375309440961937,13117.0,0.0005622710559550154
18,16.754,7.5041,73.8441792118,36.4563642127,18.46104480295,9.114091053175,4.0,58.73190269385215,40069.0,0.001465769115621856
19,13.311,9.8046,59.0101411415,49.583239554500004,14.752535285375,12.395809888625001,4.0,86.74974271044123,33013.0,0.00262774490989735
20,9.25,10.612,38.9974841713,54.1938825593,9.749371042825,13.548470639825,4.0,62.9668737930983,33345.0,0.0018883452929404198
21,5.1887,9.8046,27.1520666367,37.1078274168,6.788016659175,9.2769568542,4.0,6.129700616413594,4146.0,0.0014784613160669547
22,1.7458,7.5041,10.481334772459999,30.247753105300003,2.6203336931149996,7.561938276325001,4.0,4.638607699817106,8713.0,0.0005323777917843574
23,1.7458,-7.504,6.88566361584,-27.5974818998,1.72141590396,-6.89937047495,4.0,1.8369822373995244,6893.0,0.0002664996717538843
24,5.1887,-9.804,20.1735898263,-40.3519593221,5.043397456575,-10.087989830525,4.0,1.0913830691230189,6950.0,0.00015703353512561423
25,9.25,-10.61,37.0,-42.44,9.25,-10.61,4.0,0.0,0.0,0.0
26,13.311,-9.804,53.244,-39.216,13.311,-9.804,4.0,0.0,0.0,0.0
27,16.754,-7.504,67.016,-30.016,16.754,-7.504,4.0,0.0,0.0,0.0
28,19.054,-4.061,76.216,-16.244,19.054,-4.061,4.0,0.0,0.0,0.0
29,-1.783,1.4851,-7.132,5.9404,-1.783,1.4851,4.0,0.0,0.0,0.0
30,-1.783,-1.485,-7.132,-5.94,-1.783,-1.485,4.0,0.0,0.0,0.0
31,1.7837,1.4851,7.1348,5.9404,1.7837,1.4851,4.0,0.0,0.0,0.0
32,1.7837,-1.485,7.1348,-5.94,1.7837,-1.485,4.0,0.0,0.0,0.0
33,-1.637,-9.0,-7.8012596403700005,-34.7975437591,-1.9503149100925001,-8.699385939775,4.0,0.031130894775541165,6719.0,4.633263100988416e-06
34,-1.637,-11.0,-10.64990093676,-54.1886853213,-2.66247523419,-13.547171330325,4.0,70.5943168466727,8231.0,0.008576639150367233
35,1.6375,-9.0,6.55,-36.0,1.6375,-9.0,4.0,0.0,0.0,0.0
36,1.6375,-11.0,5.6945901825,-46.984027995,1.423647545625,-11.74600699875,4.0,5.010888187494947,6782.0,0.0007388511040246162
37,-1.637,9.0,-6.548,36.0,-1.637,9.0,4.0,0.0,0.0,0.0
38,-1.637,11.0,-6.548,44.0,-1.637,11.0,4.0,0.0,0.0,0.0
39,-1.637,13.0,-8.5217862174,53.3063991104,-2.13044655435,13.3265997776,4.0,0.118518112064613,17954.0,6.601209316286788e-06
40,-1.637,15.0,-6.548,60.0,-1.637,15.0,4.0,0.0,0.0,0.0
41,-1.637,17.0,-6.548,68.0,-1.637,17.0,4.0,0.0,0.0,0.0
42,-1.637,19.0,-6.548,76.0,-1.637,19.0,4.0,0.0,0.0,0.0
43,1.6375,9.0,6.55,36.0,1.6375,9.0,4.0,0.0,0.0,0.0
44,1.6375,11.0,6.55,44.0,1.6375,11.0,4.0,0.0,0.0,0.0
45,1.6375,13.0,12.1268310256,54.2007380273,3.0317077564,13.550184506825,4.0,20.16375478927506,8673.0,0.002324888134356631
46,1.6375,15.0,6.55,60.0,1.6375,15.0,4.0,0.0,0.0,0.0
47,1.6375,17.0,6.55,68.0,1.6375,17.0,4.0,0.0,0.0,0.0
48,1.6375,19.0,6.55,76.0,1.6375,19.0,4.0,0.0,0.0,0.0
49,-1.637,21.0,-6.548,84.0,-1.637,21.0,4.0,0.0,0.0,0.0
50,1.6375,21.0,6.55,84.0,1.6375,21.0,4.0,0.0,0.0,0.0
51,-0.55,21.0,-2.2,84.0,-0.55,21.0,4.0,0.0,0.0,0.0
52,0.55,21.0,2.2,84.0,0.55,21.0,4.0,0.0,0.0,0.0
53,16.862,0.0,57.7127377158,-1.4800985705,14.42818442895,-0.370024642625,4.0,42.00839749121845,7491.0,0.00560784908439707
54,16.283,2.9131,62.613039062300004,10.32486296843,15.653259765575001,2.5812157421075,4.0,4.997966674641656,15334.0,0.00032594017703415
55,14.632,5.3828,58.528,21.5312,14.632,5.3828,4.0,0.0,0.0,0.0
56,12.163,7.033,48.652,28.132,12.163,7.033,4.0,0.0,0.0,0.0
57,9.25,7.6125,37.0,30.45,9.25,7.6125,4.0,0.0,0.0,0.0
58,6.3368,7.033,28.3318165201,34.004456344,7.082954130025,8.501114086,4.0,26.14929414343075,4397.0,0.00594707622093035
59,3.8671,5.3828,15.4684,21.5312,3.8671,5.3828,4.0,0.0,0.0,0.0
60,2.2169,2.9131,8.8676,11.6524,2.2169,2.9131,4.0,0.0,0.0,0.0
61,1.6375,0.0,6.55,0.0,1.6375,0.0,4.0,0.0,0.0,0.0
62,2.2169,-2.913,8.8676,-11.652,2.2169,-2.913,4.0,0.0,0.0,0.0
63,3.8671,-5.382,17.6046976821,-20.934171033600002,4.401174420525,-5.2335427584000005,4.0,2.535792643253909,7017.0,0.00036137845849421534
64,6.3368,-7.033,27.9092544386,-18.9275765616,6.97731360965,-4.7318941404,4.0,46.211233176582205,7157.0,0.006456788204077435
65,9.25,-7.612,35.583152775900004,-24.644271000000003,8.895788193975001,-6.161067750000001,4.0,6.50198732478748,14361.0,0.0004527531038776882
66,12.163,-7.033,45.2861002043,-27.302806919600002,11.321525051075,-6.8257017299000005,4.0,2.2846894008402074,7218.0,0.0003165266556996685
67,14.632,-5.382,57.254040382,-21.254298389699997,14.3135100955,-5.313574597424999,4.0,0.501703826110472,7338.0,6.837064951083021e-05
68,16.283,-2.913,59.9995642597,-9.99578089615,14.999891064925,-2.4989452240375,4.0,4.148869283157434,14858.0,0.00027923470744093646
69,-1.745,7.5041,-2.38280838659,29.1230419641,-0.595702096647,7.28076049102,4.0,3.430172333659317,8966.0,0.0003825755446865176
70,-5.188,9.8046,-20.752,39.2184,-5.188,9.8046,4.0,0.0,0.0,0.0
71,-9.25,10.612,-31.5173045108,52.2119961479,-7.87932612771,13.052999037,4.0,58.48826196504439,23016.0,0.0025412001201357485
72,-13.31,9.8046,-55.754415518200005,46.7907367471,-13.938603879550001,11.697684186775,4.0,8.721500453078818,10249.0,0.0008509611135797461
73,-16.75,7.5041,-68.8355913459,32.6288721647,-17.208897836475,8.157218041175,4.0,1.3208795603464203,9030.0,0.00014627680623991365
74,-19.05,4.0612,-73.4847262393,15.3060985244,-18.371181559825,3.8265246311,4.0,5.992859201766968,5466.0,0.0010963884379376085
75,-19.86,0.0,-76.1494707738,-1.73705383141,-19.03736769345,-0.4342634578525,4.0,0.9548494442427322,5620.0,0.00016990203634212317
76,-19.05,-4.061,-75.9993893179,-18.1763127232,-18.999847329475,-4.5440781808,4.0,1.0852469754748442,11527.0,9.414825847790788e-05
77,-16.75,-7.504,-72.5790887691,-37.9284571333,-18.144772192275,-9.482114283325,4.0,60.69324560938357,11866.0,0.005114886702290879
78,-13.31,-9.8,-56.3897495466,-47.365587347,-14.09743738665,-11.84139683675,4.0,42.739424709142554,22127.0,0.0019315508071199238
79,-9.25,-10.61,-38.536745087599996,-52.6708598198,-9.634186271899999,-13.16771495495,4.0,46.704156845004704,29713.0,0.0015718425216236901
80,-5.188,-9.804,-21.3976663075,-46.4313048212,-5.349416576875,-11.6078262053,4.0,23.136788781644952,9698.0,0.0023857278595220614
81,-1.745,-7.504,-7.84207007876,-32.0867600482,-1.96051751969,-8.02169001205,4.0,3.1451918813530915,6.0,0.5241986468921819
